batch	covariate	array_hyb_address
4634633002	RS	4634633002_A
4634633002	DP	4634633002_B
4634633002	DP	4634633002_C
4634633002	DP	4634633002_D
4634633002	DP	4634633002_E
4634633002	MBP	4634633002_F
4634633053	RS	4634633053_A
4634633053	DP	4634633053_B
4634633053	N	4634633053_C
4634633043	GA.DM	4634633043_E
4634633053	GA.DM	4634633053_E
4634633053	M	4634633053_F
4637105025	Manitol	4637105025_A
4637105025	DP	4637105025_B
4637105025	DP	4637105025_C
4637105025	DP	4637105025_D
4637105025	DP	4637105025_E
4637105025	DP	4637105025_F
4634633043	RS	4634633043_A
4634633043	N	4634633043_B
4634633043	N	4634633043_C
4634633043	GA.FD	4634633043_D
4634633043	M	4634633043_F
4682416019	RS	4682416019_A
4682416019	DP	4682416019_B
4682416019	DP	4682416019_C
4682416019	DP	4682416019_D
4682416019	RS	4682416019_E
4682416019	DP	4682416019_F
4682416090	N	4682416090_A
4682416090	DP	4682416090_B
4682416090	M	4682416090_C
4682416043	RS	4682416043_A
4682416090	DP	4682416090_D
4682416043	N	4682416043_B
4682416090	DP	4682416090_E
4682416043	GA.FD	4682416043_C
4682416043	GA.FD	4682416043_D
4682416043	RS	4682416043_E
4682416043	DP	4682416043_F
4682416087	GA.DM	4682416087_A
4682416087	M	4682416087_B
4682416087	RS	4682416087_C
4682416090	DP	4682416090_F
4682416087	TV.Marker	4682416087_D
4682416087	TV.Marker	4682416087_E
4682416087	TV.Marker	4682416087_F
4763646004	RS	4763646004_A
4763646004	GA.RS.HD	4763646004_B
4763646004	DP	4763646004_C
4763646004	M	4763646004_D
4763646004	RS	4763646004_E
4763646004	GA.RS.HD	4763646004_F
4763646030	DP	4763646030_A
4763646030	M	4763646030_B
4763646030	RS	4763646030_C
4763646030	GA.RS.HD	4763646030_D
4763646030	DP	4763646030_E
4763646030	M	4763646030_F
4763646012	RS	4763646012_A
4763646012	N	4763646012_B
4763646012	DP	4763646012_C
4763646012	GA.C1	4763646012_D
4763646012	N	4763646012_E
4763646012	M	4763646012_F
4763646026	RS	4763646026_A
4763646026	N	4763646026_B
4763646026	DP	4763646026_C
4763646026	GA.C1	4763646026_D
4763646026	N	4763646026_E
4763646026	M	4763646026_F
4763128059	RS	4763128059_A
4763128059	N	4763128059_B
4763128059	DP	4763128059_C
4763128059	GA.DM	4763128059_D
4763128059	DP	4763128059_E
4763128059	M	4763128059_F
4763128060	RS	4763128060_A
4763128060	N	4763128060_B
4763128060	DP	4763128060_C
4763128060	GA.DM	4763128060_D
4763128060	DP	4763128060_E
4763128060	M	4763128060_F
5216898004	RS	5216898004_A
5216898004	Appotex.1	5216898004_B
5216898004	DP	5216898004_C
5216898004	Appotex.2	5216898004_D
5216898004	DP	5216898004_E
5216898004	M	5216898004_F
5216898008	RS	5216898008_A
5216898008	Shira	5216898008_B
5216898008	DP	5216898008_C
5216898008	TV.5010	5216898008_D
5216898008	DP	5216898008_E
5216898008	M	5216898008_F
5216898012	RS	5216898012_A
5216898012	Appotex.1	5216898012_B
5216898012	DP	5216898012_C
5216898012	Appotex.2	5216898012_D
5216898012	Edan	5216898012_E
5216898012	M	5216898012_F
5216898024	RS	5216898024_A
5216898024	Shira	5216898024_B
5216898024	DP	5216898024_C
5216898024	TV.5010	5216898024_D
5216898024	Edan	5216898024_E
5216898024	M	5216898024_F
